endpoint,usuario,status_code,response
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,cbunhill0,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,jbayliss1,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,lbagworth2,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,vpetch3,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,bingleston4,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,adowry5,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,mstratiff6,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,awebb7,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,sstops8,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,rkermott9,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,okochea,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,tbursnellb,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,agentschc,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,yferruzzid,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,cvarnalse,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,ndungatef,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,ucolbertsong,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,kpattemoreh,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,rgoghini,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,khackwellj,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,haizikk,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,gomullenl,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,btrenholmm,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,tmusicon,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,sgillespeyo,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,mmayhoup,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,jdroughtq,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,rfarnhamr,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,fmavens,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,dcreelmant,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,fthakeu,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,jwaldockev,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,ichristoforw,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,dblethinx,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,pfidelusy,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,jsantostefanoz,200,OK
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,tcronkshaw10,401,El usuario no cuenta con el nivel de acceso requerido
http://ec2-34-235-166-27.compute-1.amazonaws.com:3001/consultar-perfil-deportivo,tkentwell11,200,OK
